"congruent","incongruent","negative","neutral","positive"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
206.821216971262,274.753548657702,280.836480949783,275.515345048407,276.100271566396
99.8464756564188,164.760520187166,195.22907613448,171.108836070538,191.954045671659
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
159.160480920141,277.639167849098,220.151770082031,282.827720814672,296.601817294181
264.185371127936,244.539173173737,204.256042148007,229.452043232064,277.031827385477
NA,NA,NA,NA,NA
122.788435937591,247.743202620061,445.277841705039,400.984316678623,448.506265850768
214.517507427848,300.76198312254,239.689348253237,250.285913654631,178.769897900316
172.296131763766,376.965106797141,266.331861813527,320.350229218381,290.137314109993
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
258.993541341583,329.288074264634,305.660957244674,272.712014656218,245.002680320145
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
157.392854446044,213.385533978082,178.056472893997,201.04508057638,220.49816007507
231.754330876109,364.505556969147,294.27284400912,323.017441547449,291.914689863652
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
147.177895788611,184.403404733538,139.770333160317,146.973728216012,142.731391081289
126.542046819865,320.751567084426,180.168794953119,311.874956552446,246.286514712956
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
100.804072889497,207.131640547466,160.237136703222,211.014372908033,246.972341983709
NA,NA,NA,NA,NA
307.801712081321,320.405291074585,319.644772912016,297.855433374965,295.086417832253
NA,NA,NA,NA,NA
186.254177286581,259.160876234558,248.289623881444,185.414949763985,152.631493368365
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
220.952656028708,315.417620193553,252.481653097903,296.700468318777,294.945478130187
NA,NA,NA,NA,NA
297.150390470556,354.033395759438,235.462677886742,304.336266545705,300.927012307882
NA,NA,NA,NA,NA
321.981310089301,368.901162084626,297.820679594383,349.000176790639,324.254485001782
297.142712124568,382.402720224256,307.245089944736,307.259711397433,335.240755409156
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
280.383315016278,401.402463116431,236.680105059862,236.80193702132,280.055832304027
NA,NA,NA,NA,NA
278.62188970533,266.620092521151,303.37239386623,193.357260382903,218.168002992561
85.6586832060303,206.139703330963,90.4931219503875,100.5088436396,174.476920045074
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
261.813491140806,205.702377517538,226.849676097708,292.133136746336,258.718643328095
NA,NA,NA,NA,NA
122.076074733915,120.983525976627,104.80557915208,131.971020418934,181.148756616791
98.593432582772,249.73866015703,109.342723128659,123.934157614956,117.743917999991
95.3344988273745,140.886292467825,167.931965108713,126.999342822382,154.382531465919
214.203865899831,184.133793383994,162.413346095939,278.341853602631,380.794782877427
119.515965726504,207.662193210545,103.732279413641,137.234544552672,164.045544298523
160.509889294721,290.061129198249,248.959178121699,315.486340248085,313.811729932643
257.513865577353,192.004104659615,172.648876835672,217.896188756398,269.879919628981
185.260474936419,253.639805141847,243.48132717321,292.169233258903,257.841875139313
NA,NA,NA,NA,NA
92.3671519258728,184.468373183615,179.225998463799,157.623291091517,325.946626163464
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
233.41268438646,206.73584044082,311.039438017188,321.466523749039,320.660153761777
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
247.749718660042,325.642906870441,199.814516544283,231.243214981903,258.525427812037
NA,NA,NA,NA,NA
166.497770099504,229.120291621336,177.764635775558,221.655052849531,205.692398599292
NA,NA,NA,NA,NA
165.082250089678,200.067539101225,127.900234519251,157.347323801645,175.964044594569
NA,NA,NA,NA,NA
116.169746224601,211.426573849736,199.654395454165,158.833744784107,261.886917978924
249.397552842916,301.484719686992,224.060932755582,273.321943489041,263.125807316938
NA,NA,NA,NA,NA
187.919598370797,191.467727925203,195.316013310548,210.145133464099,212.181553602265
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
207.916510841465,242.838624214556,236.075847039793,233.884994624244,225.071333659632
